name,salary_from,salary_to,salary_currency,area_name,published_at
Системный аналитик,,,,Санкт-Петербург,2022-12-02T10:57:36+0300
Web-дизайнер,,,,Ташкент,2022-12-02T09:40:42+0300
Руководитель транспортной службы,90000.0,90000.0,RUR,Омск,2022-12-02T10:26:21+0300
Корректор,1200.0,,BYR,Минск,2022-12-02T11:50:09+0300
Механик/слесарь-наладчик оборудования,81000.0,87000.0,RUR,Москва,2022-12-02T09:28:01+0300
Системный администратор распределительного центра,47000.0,,RUR,Красноярск,2022-12-02T06:07:07+0300
Оператор токарного станка с ЧПУ 4 разряда,60000.0,,RUR,Чебоксары,2022-12-02T09:49:29+0300
Аналитик данных,55000.0,65000.0,RUR,Екатеринбург,2022-12-02T10:15:20+0300
Фрезеровщик (Ижевск),120000.0,,RUR,Челябинск,2022-12-02T10:38:11+0300
Монтажник слаботочных систем,35000.0,40000.0,RUR,Волгоград,2022-12-02T10:50:08+0300
Project manager,,,,Москва,2022-12-02T11:35:11+0300
Программист 1С,150000.0,,RUR,Рязань,2022-12-02T09:44:23+0300
Начальник отдела автоматизированных систем управления,178384.0,178384.0,RUR,Наро-Фоминск,2022-12-02T10:15:37+0300
Монтажник слаботочных систем,60000.0,80000.0,RUR,Пермь,2022-12-02T11:47:55+0300
Редактор,,,,Москва,2022-12-02T10:28:51+0300
Главный механик,120000.0,120000.0,RUR,Хабаровск,2022-12-02T07:15:30+0300
Разработчик С++,,,,Москва,2022-12-02T10:29:15+0300
Шлифовщик,97000.0,125000.0,RUR,Волгоград,2022-12-02T10:06:26+0300
Администратор проектов,90000.0,,RUR,Москва,2022-12-02T10:02:29+0300
Младший помощник инженера-механика,60000.0,60000.0,RUR,Москва,2022-12-02T11:53:12+0300
Junior Data Scientist (Стажер),,,,Кемерово,2022-12-02T09:26:22+0300
Специалист технической поддержки (1 линия),25000.0,,RUR,Пермь,2022-12-02T11:01:02+0300
Инженер-механик,40000.0,,RUR,Санкт-Петербург,2022-12-02T10:40:05+0300
Директор по информационным технологиям,,,,Москва,2022-12-02T10:18:12+0300
Специалист службы поддержки,30000.0,,RUR,Петрозаводск,2022-12-02T11:33:34+0300
Java-разработчик,,,,Москва,2022-12-02T11:41:12+0300
Аналитик товарных запасов (автозапчасти),,,,Москва,2022-12-02T09:21:47+0300
DevSecOps engineer,,,,Москва,2022-12-02T11:49:31+0300
Эксперт SAP (Fi),300000.0,,RUR,Москва,2022-12-02T11:40:44+0300
Консультант\Аналитик 1С (удаленно),,,,Владивосток,2022-12-02T09:22:29+0300
Инженер-аналитик,,,,Рыбинск,2022-12-02T10:20:29+0300
Программист 1С,,,,Краснодар,2022-12-02T09:21:43+0300
Разработчик 1С-Битрикс,70000.0,,RUR,Киров (Кировская область),2022-12-02T09:18:14+0300
